time,distance0,distance1
0.001,1000,515
0.002,1000,515
0.003,1000,515
0.004,1000,515
0.005,1000,515
0.006,1000,515
0.007,1000,515
0.008,1000,515
0.009,1000,515
0.01,1000,515
0.011,1000,515
0.012,1000,515
0.013,1000,515
0.014,1000,515
0.015,1000,515
0.016,1000,515
0.017,1000,515
0.018,1000,515
0.019,1000,515
0.02,1000,515
0.021,1000,515
0.022,1000,515
0.023,1000,515
0.024,1000,515
0.025,1000,515
0.026,1000,515
0.027,1000,515
0.028,1000,515
0.029,1000,515
0.03,1000,515
0.031,1000,515
0.032,1000,515
0.033,1000,515
0.034,1000,515
0.035,1000,515
0.036,1000,515
0.037,1000,515
0.038,1000,515
0.039,1000,515
0.04,1000,515
0.041,1000,515
0.042,1000,515
0.043,1000,515
0.044,1000,515
0.045,1000,515
0.046,1000,515
0.047,1000,515
0.048,1000,515
0.049,1000,515
0.05,1000,515
0.051,1000,515
0.052,1000,515
0.053,1000,515
0.054,1000,515
0.055,1000,515
0.056,1000,515
0.057,1000,515
0.058,1000,515
0.059,1000,515
0.06,1000,515
0.061,1000,515
0.062,1000,515
0.063,1000,515
0.064,1000,515
0.065,1000,515
0.066,1000,515
0.067,1000,515
0.068,1000,515
0.069,1000,515
0.07,1000,515
0.071,1000,515
0.072,1000,515
0.073,1000,515
0.074,1000,515
0.075,1000,515
0.076,1000,515
0.077,1000,515
0.078,1000,515
0.079,1000,515
0.08,1000,515
0.081,1000,515
0.082,1000,515
0.083,1000,515
0.084,1000,515
0.085,1000,515
0.086,1000,515
0.087,1000,515
0.088,1000,515
0.089,1000,515
0.09,1000,515
0.091,1000,515
0.092,1000,515
0.093,1000,515
0.094,1000,515
0.095,1000,515
0.096,1000,515
0.097,1000,515
0.098,1000,515
0.099,1000,515
0.1,1000,515
0.101,1000,515
0.102,1000,515
0.103,1000,515
0.104,1000,515
0.105,1000,515
0.106,1000,515
0.107,1000,515
0.108,1000,515
0.109,1000,515
0.11,1000,515
0.111,1000,515
0.112,1000,515
0.113,1000,515
0.114,1000,515
0.115,1000,515
0.116,1000,515
0.117,1000,515
0.118,1000,515
0.119,1000,515
0.12,1000,515
0.121,1000,515
0.122,1000,515
0.123,1000,515
0.124,1000,515
0.125,1000,515
0.126,1000,515
0.127,1000,515
0.128,1000,515
0.129,1000,515
0.13,1000,515
0.131,1000,515
0.132,1000,515
0.133,1000,515
0.134,1000,515
0.135,1000,515
0.136,1000,515
0.137,1000,515
0.138,1000,515
0.139,1000,515
0.14,1000,515
0.141,1000,515
0.142,1000,515
0.143,1000,515
0.144,1000,515
0.145,1000,515
0.146,1000,515
0.147,1000,515
0.148,1000,515
0.149,1000,515
0.15,1000,515
0.151,1000,515
0.152,1000,515
0.153,1000,515
0.154,1000,515
0.155,1000,515
0.156,1000,515
0.157,1000,515
0.158,1000,515
0.159,1000,515
0.16,1000,515
0.161,1000,515
0.162,1000,515
0.163,1000,515
0.164,1000,515
0.165,1000,515
0.166,1000,515
0.167,1000,515
0.168,1000,515
0.169,1000,515
0.17,1000,515
0.171,1000,515
0.172,1000,515
0.173,1000,515
0.174,1000,515
0.175,1000,515
0.176,1000,515
0.177,1000,515
0.178,1000,515
0.179,1000,515
0.18,1000,515
0.181,1000,515
0.182,1000,515
0.183,1000,515
0.184,1000,515
0.185,1000,515
0.186,1000,515
0.187,1000,515
0.188,1000,515
0.189,1000,515
0.19,1000,515
0.191,1000,515
0.192,1000,515
0.193,1000,515
0.194,1000,515
0.195,1000,515
0.196,1000,515
0.197,1000,515
0.198,1000,515
0.199,1000,515
0.2,1000,515
0.201,1000,515
0.202,1000,515
0.203,1000,515
0.204,1000,515
0.205,1000,515
0.206,1000,515
0.207,1000,515
0.208,1000,515
0.209,1000,515
0.21,1000,515
0.211,1000,515
0.212,1000,515
0.213,1000,515
0.214,1000,515
0.215,1000,515
0.216,1000,515
0.217,1000,515
0.218,1000,515
0.219,1000,515
0.22,1000,515
0.221,1000,515
0.222,1000,515
0.223,1000,515
0.224,1000,515
0.225,1000,515
0.226,1000,515
0.227,1000,515
0.228,1000,515
0.229,1000,515
0.23,1000,515
0.231,1000,515
0.232,1000,515
0.233,1000,515
0.234,1000,515
0.235,1000,515
0.236,1000,515
0.237,1000,515
0.238,1000,515
0.239,1000,515
0.24,1000,515
0.241,1000,515
0.242,1000,515
0.243,1000,515
0.244,1000,515
0.245,1000,515
0.246,1000,515
0.247,1000,515
0.248,1000,515
0.249,1000,515
0.25,1000,515
0.251,1000,515
0.252,1000,515
0.253,1000,515
0.254,1000,515
0.255,1000,515
0.256,1000,515
0.257,1000,515
0.258,1000,515
0.259,1000,515
0.26,1000,515
0.261,1000,515
0.262,1000,515
0.263,1000,515
0.264,1000,515
0.265,1000,515
0.266,1000,515
0.267,1000,515
0.268,1000,515
0.269,1000,515
0.27,1000,515
0.271,1000,515
0.272,1000,515
0.273,1000,515
0.274,1000,515
0.275,1000,515
0.276,1000,515
0.277,1000,515
0.278,1000,515
0.279,1000,515
0.28,1000,515
0.281,1000,515
0.282,1000,515
0.283,1000,515
0.284,1000,515
0.285,1000,515
0.286,1000,515
0.287,1000,515
0.288,1000,515
0.289,1000,515
0.29,1000,515
0.291,1000,515
0.292,1000,515
0.293,1000,515
0.294,1000,515
0.295,1000,515
0.296,1000,515
0.297,1000,515
0.298,1000,515
0.299,1000,515
0.3,1000,515
0.301,1000,515
0.302,1000,515
0.303,1000,515
0.304,1000,515
0.305,1000,515
0.306,1000,515
0.307,1000,515
0.308,1000,515
0.309,1000,515
0.31,1000,515
0.311,1000,515
0.312,1000,515
0.313,1000,515
0.314,1000,515
0.315,1000,515
0.316,1000,515
0.317,1000,515
0.318,1000,515
0.319,1000,515
0.32,1000,515
0.321,1000,515
0.322,1000,515
0.323,1000,515
0.324,1000,515
0.325,1000,515
0.326,1000,515
0.327,1000,515
0.328,1000,515
0.329,1000,515
0.33,1000,515
0.331,1000,515
0.332,1000,515
0.333,1000,515
0.334,1000,515
0.335,1000,515
0.336,1000,515
0.337,1000,515
0.338,1000,515
0.339,1000,515
0.34,1000,515
0.341,1000,515
0.342,1000,515
0.343,1000,515
0.344,1000,515
0.345,1000,515
0.346,1000,515
0.347,1000,515
0.348,1000,515
0.349,1000,515
0.35,1000,515
0.351,1000,515
0.352,1000,515
0.353,1000,515
0.354,1000,515
0.355,1000,515
0.356,1000,515
0.357,1000,515
0.358,1000,515
0.359,1000,515
0.36,1000,515
0.361,1000,515
0.362,1000,515
0.363,1000,515
0.364,1000,515
0.365,1000,515
0.366,1000,515
0.367,1000,515
0.368,1000,515
0.369,1000,515
0.37,1000,515
0.371,1000,515
0.372,1000,515
0.373,1000,515
0.374,1000,515
0.375,1000,515
0.376,1000,515
0.377,1000,515
0.378,1000,515
0.379,1000,515
0.38,1000,515
0.381,1000,515
0.382,1000,515
0.383,1000,515
0.384,1000,515
0.385,1000,515
0.386,1000,515
0.387,1000,515
0.388,1000,515
0.389,1000,515
0.39,1000,515
0.391,1000,515
0.392,1000,515
0.393,1000,515
0.394,1000,515
0.395,1000,515
0.396,1000,515
0.397,1000,515
0.398,1000,515
0.399,1000,515
0.4,1000,515
0.401,1000,515
0.402,1000,515
0.403,1000,515
0.404,1000,515
0.405,1000,515
0.406,1000,515
0.407,1000,515
0.408,1000,515
0.409,1000,515
0.41,1000,515
0.411,1000,515
0.412,1000,515
0.413,1000,515
0.414,1000,515
0.415,1000,515
0.416,1000,515
0.417,1000,515
0.418,1000,515
0.419,1000,515
0.42,1000,515
0.421,1000,515
0.422,1000,515
0.423,1000,515
0.424,1000,515
0.425,1000,515
0.426,1000,515
0.427,1000,515
0.428,1000,515
0.429,1000,515
0.43,1000,515
0.431,1000,515
0.432,1000,515
0.433,1000,515
0.434,1000,515
0.435,1000,515
0.436,1000,515
0.437,1000,515
0.438,1000,515
0.439,1000,515
0.44,1000,515
0.441,1000,515
0.442,1000,515
0.443,1000,515
0.444,1000,515
0.445,1000,515
0.446,1000,515
0.447,1000,515
0.448,1000,515
0.449,1000,515
0.45,1000,515
0.451,1000,515
0.452,1000,515
0.453,1000,515
0.454,1000,515
0.455,1000,515
0.456,1000,515
0.457,1000,515
0.458,1000,515
0.459,1000,515
0.46,1000,515
0.461,1000,515
0.462,1000,515
0.463,1000,515
0.464,1000,515
0.465,1000,515
0.466,1000,515
0.467,1000,515
0.468,1000,515
0.469,1000,515
0.47,1000,515
0.471,1000,515
0.472,1000,515
0.473,1000,515
0.474,1000,515
0.475,1000,515
0.476,1000,515
0.477,1000,515
0.478,1000,515
0.479,1000,515
0.48,1000,515
0.481,1000,515
0.482,1000,515
0.483,1000,515
0.484,1000,515
0.485,1000,515
0.486,1000,515
0.487,1000,515
0.488,1000,515
0.489,1000,515
0.49,1000,515
0.491,1000,515
0.492,1000,515
0.493,1000,515
0.494,1000,515
0.495,1000,515
0.496,1000,515
0.497,1000,515
0.498,1000,515
0.499,1000,515
0.5,1000,515
0.501,1000,515
0.502,1000,515
0.503,1000,515
0.504,1000,515
0.505,1000,515
0.506,1000,515
0.507,1000,515
0.508,1000,515
0.509,1000,515
0.51,1000,515
0.511,1000,515
0.512,1000,515
0.513,1000,515
0.514,1000,515
0.515,1000,515
0.516,1000,515
0.517,1000,515
0.518,1000,515
0.519,1000,515
0.52,1000,515
0.521,1000,515
0.522,1000,515
0.523,1000,515
0.524,1000,515
0.525,1000,515
0.526,1000,515
0.527,1000,515
0.528,1000,515
0.529,1000,515
0.53,1000,515
0.531,1000,515
0.532,1000,515
0.533,1000,515
0.534,1000,515
0.535,1000,515
0.536,1000,515
0.537,1000,515
0.538,1000,515
0.539,1000,515
0.54,1000,515
0.541,1000,515
0.542,1000,515
0.543,1000,515
0.544,1000,515
0.545,1000,515
0.546,1000,515
0.547,1000,515
0.548,1000,515
0.549,1000,515
0.55,1000,515
0.551,1000,515
0.552,1000,515
0.553,1000,515
0.554,1000,515
0.555,1000,515
0.556,1000,515
0.557,1000,515
0.558,1000,515
0.559,1000,515
0.56,1000,515
0.561,1000,515
0.562,1000,515
0.563,1000,515
0.564,1000,515
0.565,1000,515
0.566,1000,515
0.567,1000,515
0.568,1000,515
0.569,1000,515
0.57,1000,515
0.571,1000,515
0.572,1000,515
0.573,1000,515
0.574,1000,515
0.575,1000,515
0.576,1000,515
0.577,1000,515
0.578,1000,515
0.579,1000,515
0.58,1000,515
0.581,1000,515
0.582,1000,515
0.583,1000,515
0.584,1000,515
0.585,1000,515
0.586,1000,515
0.587,1000,515
0.588,1000,515
0.589,1000,515
0.59,1000,515
0.591,1000,515
0.592,1000,515
0.593,1000,515
0.594,1000,515
0.595,1000,515
0.596,1000,515
0.597,1000,515
0.598,1000,515
0.599,1000,515
0.6,1000,515
0.601,1000,515
0.602,1000,515
0.603,1000,515
0.604,1000,515
0.605,1000,515
0.606,1000,515
0.607,1000,515
0.608,1000,515
0.609,1000,515
0.61,1000,515
0.611,1000,515
0.612,1000,515
0.613,1000,515
0.614,1000,515
0.615,1000,515
0.616,1000,515
0.617,1000,515
0.618,1000,515
0.619,1000,515
0.62,1000,515
0.621,1000,515
0.622,1000,515
0.623,1000,515
0.624,1000,515
0.625,1000,515
0.626,1000,515
0.627,1000,515
0.628,1000,515
0.629,1000,515
0.63,1000,515
0.631,1000,515
0.632,1000,515
0.633,1000,515
0.634,1000,515
0.635,1000,515
0.636,1000,515
0.637,1000,515
0.638,1000,515
0.639,1000,515
0.64,1000,515
0.641,1000,515
0.642,1000,515
0.643,1000,515
0.644,1000,515
0.645,1000,515
0.646,1000,515
0.647,1000,515
0.648,1000,515
0.649,1000,515
0.65,1000,515
0.651,1000,515
0.652,1000,515
0.653,1000,515
0.654,1000,515
0.655,1000,515
0.656,1000,515
0.657,1000,515
0.658,1000,515
0.659,1000,515
0.66,1000,515
0.661,1000,515
0.662,1000,515
0.663,1000,515
0.664,1000,515
0.665,1000,515
0.666,1000,515
0.667,1000,515
0.668,1000,515
0.669,1000,515
0.67,1000,515
0.671,1000,515
0.672,1000,515
0.673,1000,515
0.674,1000,515
0.675,1000,515
0.676,1000,515
0.677,1000,515
0.678,1000,515
0.679,1000,515
0.68,1000,515
0.681,1000,515
0.682,1000,515
0.683,1000,515
0.684,1000,515
0.685,1000,515
0.686,1000,515
0.687,1000,515
0.688,1000,515
0.689,1000,515
0.69,1000,515
0.691,1000,515
0.692,1000,515
0.693,1000,515
0.694,1000,515
0.695,1000,515
0.696,1000,515
0.697,1000,515
0.698,1000,515
0.699,1000,515
0.7,1000,515
0.701,1000,515
0.702,1000,515
0.703,1000,515
0.704,1000,515
0.705,1000,515
0.706,1000,515
0.707,1000,515
0.708,1000,515
0.709,1000,515
0.71,1000,515
0.711,1000,515
0.712,1000,515
0.713,1000,515
0.714,1000,515
0.715,1000,515
0.716,1000,515
0.717,1000,515
0.718,1000,515
0.719,1000,515
0.72,1000,515
0.721,1000,515
0.722,1000,515
0.723,1000,515
0.724,1000,515
0.725,1000,515
0.726,1000,515
0.727,1000,515
0.728,1000,515
0.729,1000,515
0.73,1000,515
0.731,1000,515
0.732,1000,515
0.733,1000,515
0.734,1000,515
0.735,1000,515
0.736,1000,515
0.737,1000,515
0.738,1000,515
0.739,1000,515
0.74,1000,515
0.741,1000,515
0.742,1000,515
0.743,1000,515
0.744,1000,515
0.745,1000,515
0.746,1000,515
0.747,1000,515
0.748,1000,515
0.749,1000,515
0.75,1000,515
0.751,1000,515
0.752,1000,515
0.753,1000,515
0.754,1000,515
0.755,1000,515
0.756,1000,515
0.757,1000,515
0.758,1000,515
0.759,1000,515
0.76,1000,515
0.761,1000,515
0.762,1000,515
0.763,1000,515
0.764,1000,515
0.765,1000,515
0.766,1000,515
0.767,1000,515
0.768,1000,515
0.769,1000,515
0.77,1000,515
0.771,1000,515
0.772,1000,515
0.773,1000,515
0.774,1000,515
0.775,1000,515
0.776,1000,515
0.777,1000,515
0.778,1000,515
0.779,1000,515
0.78,1000,515
0.781,1000,515
0.782,1000,515
0.783,1000,515
0.784,1000,515
0.785,1000,515
0.786,1000,515
0.787,1000,515
0.788,1000,515
0.789,1000,515
0.79,1000,515
0.791,1000,515
0.792,1000,515
0.793,1000,515
0.794,1000,515
0.795,1000,515
0.796,1000,515
0.797,1000,515
0.798,1000,515
0.799,1000,515
0.8,1000,515
0.801,1000,515
0.802,1000,515
0.803,1000,515
0.804,1000,515
0.805,1000,515
0.806,1000,515
0.807,1000,515
0.808,1000,515
0.809,1000,515
0.81,1000,515
0.811,1000,515
0.812,1000,515
0.813,1000,515
0.814,1000,515
0.815,1000,515
0.816,1000,515
0.817,1000,515
0.818,1000,515
0.819,1000,515
0.82,1000,515
0.821,1000,515
0.822,1000,515
0.823,1000,515
0.824,1000,515
0.825,1000,515
0.826,1000,515
0.827,1000,515
0.828,1000,515
0.829,1000,515
0.83,1000,515
0.831,1000,515
0.832,1000,515
0.833,1000,515
0.834,1000,515
0.835,1000,515
0.836,1000,515
0.837,1000,515
0.838,1000,515
0.839,1000,515
0.84,1000,515
0.841,1000,515
0.842,1000,515
0.843,1000,515
0.844,1000,515
0.845,1000,515
0.846,1000,515
0.847,1000,515
0.848,1000,515
0.849,1000,515
0.85,1000,515
0.851,1000,515
0.852,1000,515
0.853,1000,515
0.854,1000,515
0.855,1000,515
0.856,1000,515
0.857,1000,515
0.858,1000,515
0.859,1000,515
0.86,1000,515
0.861,1000,515
0.862,1000,515
0.863,1000,515
0.864,1000,515
0.865,1000,515
0.866,1000,515
0.867,1000,515
0.868,1000,515
0.869,1000,515
0.87,1000,515
0.871,1000,515
0.872,1000,515
0.873,1000,515
0.874,1000,515
0.875,1000,515
0.876,1000,515
0.877,1000,515
0.878,1000,515
0.879,1000,515
0.88,1000,515
0.881,1000,515
0.882,1000,515
0.883,1000,515
0.884,1000,515
0.885,1000,515
0.886,1000,515
0.887,1000,515
0.888,1000,515
0.889,1000,515
0.89,1000,515
0.891,1000,515
0.892,1000,515
0.893,1000,515
0.894,1000,515
0.895,1000,515
0.896,1000,515
0.897,1000,515
0.898,1000,515
0.899,1000,515
0.9,1000,515
0.901,1000,515
0.902,1000,515
0.903,1000,515
0.904,1000,515
0.905,1000,515
0.906,1000,515
0.907,1000,515
0.908,1000,515
0.909,1000,515
0.91,1000,515
0.911,1000,515
0.912,1000,515
0.913,1000,515
0.914,1000,515
0.915,1000,515
0.916,1000,515
0.917,1000,515
0.918,1000,515
0.919,1000,515
0.92,1000,515
0.921,1000,515
0.922,1000,515
0.923,1000,515
0.924,1000,515
0.925,1000,515
0.926,1000,515
0.927,1000,515
0.928,1000,515
0.929,1000,515
0.93,1000,515
0.931,1000,515
0.932,1000,515
0.933,1000,515
0.934,1000,515
0.935,1000,515
0.936,1000,515
0.937,1000,515
0.938,1000,515
0.939,1000,515
0.94,1000,515
0.941,1000,515
0.942,1000,515
0.943,1000,515
0.944,1000,515
0.945,1000,515
0.946,1000,515
0.947,1000,515
0.948,1000,515
0.949,1000,515
0.95,1000,515
0.951,1000,515
0.952,1000,515
0.953,1000,515
0.954,1000,515
0.955,1000,515
0.956,1000,515
0.957,1000,515
0.958,1000,515
0.959,1000,515
0.96,1000,515
0.961,1000,515
0.962,1000,515
0.963,1000,515
0.964,1000,515
0.965,1000,515
0.966,1000,515
0.967,1000,515
0.968,1000,515
0.969,1000,515
0.97,1000,515
0.971,1000,515
0.972,1000,515
0.973,1000,515
0.974,1000,515
0.975,1000,515
0.976,1000,515
0.977,1000,515
0.978,1000,515
0.979,1000,515
0.98,1000,515
0.981,1000,515
0.982,1000,515
0.983,1000,515
0.984,1000,515
0.985,1000,515
0.986,1000,515
0.987,1000,515
0.988,1000,515
0.989,1000,515
0.99,1000,515
0.991,1000,515
0.992,1000,515
0.993,1000,515
0.994,1000,515
0.995,1000,515
0.996,1000,515
0.997,1000,515
0.998,1000,515
0.999,1000,515
